Country Name,Maledrink,Femaledrink,Totaldrinkl,total,male,female
Afghanistan,36.0,0.022,0.003,62.0,59.0,66.0
Albania,11.02,2.53,6.82,76.0,74.0,79.0
Algeria,1.09,0.17,0.63,77.0,75.0,78.0
Andorra,18.58,5.74,12.26,83.0,81.0,85.0
Angola,42.0,12.39,3.48,61.0,59.0,64.0
Antigua and Barbuda,15.09,4.25,9.4,79.0,76.0,81.0
Argentina,33.0,14.66,4.64,76.0,72.0,79.0
Armenia,7.7,2.14,4.67,73.0,67.0,78.0
Australia,15.72,5.11,10.36,83.0,81.0,85.0
Austria,18.42,5.76,11.93,82.0,80.0,84.0
Azerbaijan,1.67,0.32,0.98,73.0,70.0,76.0
Bahamas,7.66,2.16,4.8,74.0,70.0,77.0
Bahrain,154.0,1.54,0.32,79.0,78.0,80.0
Bangladesh,8.0,0.0,0.0,73.0,71.0,76.0
Barbados,16.95,4.35,10.37,77.0,75.0,79.0
Belarus,17.93,5.13,10.96,73.0,68.0,78.0
Belgium,16.7,5.13,10.8,82.0,80.0,84.0
Belize,177.0,10.18,2.65,70.0,67.0,74.0
Benin,77.0,3.59,0.9,59.0,58.0,61.0
Bhutan,165.0,0.33,0.077,72.0,70.0,74.0
Bolivia,80.0,6.0,1.84,64.0,62.0,67.0
Bosnia and Herzegovina,12.95,2.96,7.81,75.0,73.0,77.0
Botswana,144.0,11.1,2.61,65.0,63.0,68.0
Brazil,7.0,11.65,3.22,73.0,70.0,76.0
Brunei,0.68,0.21,0.46,74.0,72.0,76.0
Bulgaria,19.86,5.59,12.46,71.0,68.0,75.0
Burkina Faso,58.0,18.5,3.85,59.0,57.0,61.0
Burundi,78.0,12.22,2.89,61.0,60.0,63.0
Cambodia,12.9,3.21,7.84,69.0,67.0,72.0
Cameroon,53.0,8.76,2.32,60.0,59.0,62.0
Canada,13.73,4.01,8.81,82.0,80.0,84.0
Central African Republic,117.0,2.76,0.71,54.0,52.0,56.0
Chad,69.0,2.07,0.46,52.0,51.0,54.0
Chile,65.0,13.74,4.36,79.0,77.0,81.0
China,9.37,2.6,6.04,78.0,75.0,81.0
Colombia,28.0,8.84,2.27,73.0,70.0,77.0
Comoros,163.0,2.0,0.3,63.0,61.0,66.0
Cook Islands,17.95,4.36,10.94,75.0,71.0,79.0
Costa Rica,124.0,6.49,1.68,77.0,74.0,80.0
Croatia,13.96,3.99,8.73,79.0,76.0,82.0
Cuba,9.97,2.64,6.26,78.0,75.0,80.0
Cyprus,158.0,16.92,4.76,81.0,80.0,83.0
Denmark,15.58,4.8,10.13,81.0,79.0,83.0
Djibouti,160.0,0.6,0.093,62.0,60.0,65.0
Dominica,11.53,2.9,7.23,72.0,69.0,76.0
Dominican Republic,10.62,2.8,6.68,74.0,71.0,77.0
DR Congo,15.0,1.76,0.46,59.0,57.0,62.0
Ecuador,67.0,5.01,1.56,77.0,75.0,80.0
Egypt,14.0,0.24,0.037,70.0,67.0,72.0
El Salvador,112.0,6.91,1.75,71.0,66.0,75.0
Equatorial Guinea,152.0,9.63,3.12,61.0,59.0,63.0
Eritrea,132.0,3.52,0.73,66.0,64.0,68.0
Estonia,17.35,5.06,10.75,79.0,74.0,82.0
Eswatini,159.0,14.78,3.26,56.0,52.0,60.0
Ethiopia,12.0,3.66,0.78,65.0,62.0,68.0
Fiji,6.08,1.23,3.68,68.0,66.0,70.0
Finland,16.56,4.99,10.65,82.0,79.0,84.0
France,19.21,5.83,12.23,83.0,80.0,85.0
Gabon,146.0,12.24,3.7,65.0,63.0,68.0
Gambia,142.0,5.73,1.09,62.0,61.0,64.0
Georgia,15.61,4.11,9.47,71.0,66.0,76.0
Germany,19.71,6.15,12.79,80.0,78.0,83.0
Ghana,47.0,4.37,1.16,63.0,61.0,66.0
Greece,16.72,4.6,10.5,80.0,78.0,83.0
Grenada,14.25,3.64,8.96,75.0,72.0,78.0
Guatemala,68.0,2.63,0.69,68.0,65.0,71.0
Guinea,75.0,1.94,0.36,58.0,57.0,60.0
Guinea-Bissau,149.0,9.32,2.09,59.0,57.0,61.0
Guyana,164.0,8.57,2.1,65.0,62.0,69.0
Haiti,4.96,1.19,3.02,63.0,60.0,66.0
Honduras,89.0,6.34,1.57,70.0,68.0,73.0
Hungary,17.66,5.24,11.07,74.0,71.0,78.0
Iceland,14.03,4.39,9.21,82.0,81.0,84.0
India,2.0,9.06,1.89,67.0,66.0,69.0
Indonesia,0.37,0.063,0.22,68.0,66.0,70.0
Iran,17.0,1.76,0.25,74.0,71.0,77.0
Iraq,35.0,0.64,0.1,71.0,69.0,73.0
Ireland,19.38,6.34,12.75,82.0,81.0,84.0
Israel,98.0,6.84,2.02,82.0,80.0,84.0
Italy,12.74,3.61,8.01,84.0,81.0,86.0
Ivory Coast,52.0,4.83,1.19,58.0,57.0,60.0
Jamaica,6.71,1.69,4.16,70.0,68.0,72.0
Japan,15.58,4.93,10.09,84.0,81.0,87.0
Jordan,83.0,0.89,0.14,74.0,72.0,76.0
Kazakhstan,8.33,2.02,5.0,69.0,65.0,72.0
Kenya,27.0,3.51,0.83,62.0,59.0,64.0
Kiribati,3.97,0.8,2.32,67.0,65.0,69.0
Kuwait,129.0,0.0,0.0,80.0,78.0,82.0
Kyrgyzstan,110.0,8.38,1.51,70.0,66.0,74.0
Laos,19.11,5.09,12.08,68.0,66.0,71.0
Latvia,21.61,6.31,13.19,75.0,71.0,80.0
Lebanon,119.0,2.58,0.49,74.0,72.0,76.0
Lesotho,147.0,8.65,1.67,53.0,50.0,55.0
Liberia,121.0,8.58,2.2,61.0,59.0,62.0
Libya,0.047,0.007,0.027,72.0,69.0,74.0
Lithuania,20.6,6.3,12.78,74.0,69.0,79.0
Luxembourg,18.74,6.08,12.45,82.0,80.0,84.0
Madagascar,50.0,3.22,0.77,65.0,62.0,67.0
Malawi,62.0,6.76,1.56,62.0,59.0,66.0
Malaysia,1.48,0.35,0.93,76.0,73.0,78.0
Maldives,174.0,3.95,0.57,80.0,80.0,81.0
Mali,59.0,2.26,0.39,59.0,58.0,60.0
Malta,12.88,3.69,8.27,83.0,81.0,85.0
Mauritania,126.0,0.0,0.0,64.0,62.0,66.0
Mauritius,157.0,7.67,2.0,73.0,70.0,77.0
Mexico,10.0,8.13,2.18,74.0,71.0,78.0
Micronesia,4.14,0.85,2.51,70.0,67.0,74.0
Moldova,20.61,5.89,12.85,68.0,64.0,73.0
Mongolia,9.23,2.72,5.9,72.0,68.0,77.0
Montenegro,19.51,5.3,12.24,76.0,73.0,80.0
Morocco,0.87,0.13,0.49,74.0,72.0,77.0
Mozambique,48.0,4.53,1.04,59.0,56.0,62.0
Myanmar,3.57,0.85,2.14,67.0,64.0,70.0
Namibia,145.0,5.3,1.2,58.0,54.0,61.0
Nauru,7.07,1.46,4.18,64.0,60.0,67.0
Nepal,49.0,1.1,0.25,70.0,68.0,72.0
Netherlands,14.9,4.54,9.67,82.0,80.0,83.0
New Zealand,16.46,5.23,10.69,83.0,81.0,84.0
Nicaragua,106.0,8.31,2.02,74.0,71.0,77.0
Niger,54.0,0.89,0.15,62.0,60.0,63.0
Nigeria,6.0,9.84,2.49,53.0,53.0,53.0
Niue,16.04,3.77,9.93,71.0,69.0,72.0
North Korea,6.89,1.61,4.16,73.0,70.0,76.0
North Macedonia,10.36,2.54,6.43,73.0,71.0,76.0
Norway,10.8,3.45,7.14,83.0,81.0,85.0
Oman,127.0,1.22,0.23,73.0,72.0,76.0
Pakistan,5.0,0.52,0.095,66.0,64.0,68.0
Panama,128.0,12.23,3.36,76.0,73.0,80.0
Papua New Guinea,3.49,0.72,2.12,65.0,63.0,69.0
Paraguay,109.0,10.96,2.94,70.0,67.0,73.0
Peru,44.0,10.41,3.24,73.0,71.0,75.0
Philippines,11.22,2.87,7.02,72.0,70.0,74.0
Poland,18.65,5.65,11.89,76.0,73.0,80.0
Portugal,19.51,5.59,12.09,82.0,79.0,84.0
Qatar,143.0,1.81,0.38,81.0,80.0,83.0
Romania,19.5,5.68,12.34,74.0,70.0,77.0
Russia,17.99,4.31,10.5,70.0,64.0,75.0
Rwanda,76.0,13.11,3.11,67.0,64.0,69.0
Saint Kitts and Nevis,10.01,2.78,6.34,72.0,68.0,75.0
Saint Lucia,15.45,3.97,9.59,71.0,68.0,74.0
Saint Vincent and the Grenadines,11.29,2.87,7.15,68.0,66.0,71.0
Samoa,4.58,0.93,2.82,72.0,70.0,75.0
Sao Tome and Principe,187.0,9.15,2.49,68.0,66.0,71.0
Saudi Arabia,41.0,0.0,0.0,77.0,76.0,79.0
Senegal,72.0,1.3,0.22,67.0,65.0,70.0
Serbia,14.09,3.93,8.85,74.0,71.0,76.0
Seychelles,196.0,13.41,4.02,71.0,68.0,76.0
Sierra Leone,102.0,9.19,1.47,60.0,59.0,61.0
Singapore,2.92,0.99,2.0,84.0,81.0,86.0
Slovakia,17.26,5.3,11.06,75.0,71.0,78.0
Slovenia,18.68,5.67,12.11,82.0,79.0,84.0
Solomon Islands,2.87,0.59,1.74,70.0,69.0,72.0
Somalia,70.0,0.0,0.0,56.0,54.0,58.0
South Africa,24.0,15.74,3.46,61.0,58.0,64.0
South Korea,12.76,4.17,8.45,84.0,80.0,87.0
Spain,19.94,5.76,12.67,83.0,81.0,86.0
Sri Lanka,61.0,4.75,1.19,76.0,72.0,80.0
Sweden,13.85,4.27,9.04,83.0,81.0,85.0
Switzerland,17.18,5.45,11.23,84.0,82.0,85.0
Syria,60.0,0.32,0.047,72.0,68.0,76.0
Tajikistan,95.0,1.49,0.26,71.0,69.0,73.0
Tanzania,22.0,19.89,4.36,66.0,64.0,68.0
Thailand,13.75,3.61,8.5,79.0,75.0,83.0
Timor-Leste,0.84,0.21,0.53,69.0,67.0,70.0
Togo,100.0,4.25,1.1,61.0,60.0,62.0
Tonga,0.73,0.15,0.43,71.0,68.0,74.0
Trinidad and Tobago,10.24,2.94,6.52,74.0,71.0,78.0
Tunisia,3.61,0.53,2.04,74.0,71.0,77.0
Turkey,18.0,3.12,0.48,78.0,75.0,81.0
Turkmenistan,111.0,5.26,1.03,69.0,65.0,72.0
Tuvalu,2.26,0.45,1.31,64.0,61.0,69.0
Uganda,31.0,20.61,4.94,63.0,61.0,65.0
Ukraine,14.0,3.65,8.34,68.0,63.0,73.0
United Arab Emirates,97.0,4.97,0.87,79.0,77.0,81.0
United Kingdom,17.74,5.4,11.45,82.0,80.0,83.0
United States,15.44,4.69,9.97,78.0,75.0,81.0
Uruguay,133.0,10.82,3.38,78.0,74.0,81.0
Uzbekistan,43.0,4.48,0.79,71.0,69.0,74.0
Vanuatu,3.48,0.73,2.1,70.0,68.0,73.0
Venezuela,51.0,5.72,1.51,71.0,66.0,75.0
Vietnam,12.84,3.19,7.93,74.0,69.0,79.0
Yemen,46.0,0.059,0.009,63.0,60.0,67.0
Zambia,63.0,7.26,1.79,61.0,59.0,64.0
Zimbabwe,74.0,7.94,1.62,59.0,56.0,62.0
