Country Name,Gender,Lifeexp
Monaco,1,87
Monaco,2,85
Monaco,3,89
Macau,1,85
Macau,2,83
Macau,3,88
Japan,1,85
Japan,2,82
Japan,3,88
Liechtenstein,1,85
Liechtenstein,2,83
Liechtenstein,3,86
Hong Kong,1,84
Hong Kong,2,82
Hong Kong,3,87
Switzerland,1,84
Switzerland,2,82
Switzerland,3,86
Singapore,1,84
Singapore,2,82
Singapore,3,86
Italy,1,84
Italy,2,82
Italy,3,86
Vatican City,1,84
Vatican City,2,82
Vatican City,3,86
South Korea,1,84
South Korea,2,81
South Korea,3,87
Spain,1,84
Spain,2,81
Spain,3,87
Malta,1,84
Malta,2,82
Malta,3,86
Australia,1,84
Australia,2,82
Australia,3,85
Andorra,1,84
Andorra,2,81
Andorra,3,86
French Polynesia,1,84
French Polynesia,2,81
French Polynesia,3,86
Sweden,1,84
Sweden,2,82
Sweden,3,85
San Marino,1,83
San Marino,2,82
San Marino,3,85
Norway,1,83
Norway,2,82
Norway,3,85
Martinique,1,83
Martinique,2,80
Martinique,3,86
France,1,83
France,2,80
France,3,86
New Zealand,1,83
New Zealand,2,81
New Zealand,3,85
Canada,1,83
Canada,2,81
Canada,3,85
Gibraltar,1,83
Gibraltar,2,81
Gibraltar,3,85
Iceland,1,83
Iceland,2,81
Iceland,3,84
Guernsey,1,83
Guernsey,2,81
Guernsey,3,84
Ireland,1,83
Ireland,2,81
Ireland,3,84
Reunion,1,83
Reunion,2,80
Reunion,3,85
Israel,1,83
Israel,2,81
Israel,3,85
Luxembourg,1,83
Luxembourg,2,80
Luxembourg,3,85
Netherlands,1,82
Netherlands,2,81
Netherlands,3,84
Austria,1,82
Austria,2,80
Austria,3,85
Finland,1,82
Finland,2,80
Finland,3,85
Belgium,1,82
Belgium,2,80
Belgium,3,84
Portugal,1,82
Portugal,2,79
Portugal,3,85
United Kingdom,1,82
United Kingdom,2,80
United Kingdom,3,84
Slovenia,1,82
Slovenia,2,80
Slovenia,3,85
Cyprus,1,82
Cyprus,2,80
Cyprus,3,84
Denmark,1,82
Denmark,2,80
Denmark,3,84
Bermuda,1,82
Bermuda,2,78
Bermuda,3,85
Qatar,1,82
Qatar,2,81
Qatar,3,83
Taiwan,1,81
Taiwan,2,78
Taiwan,3,85
New Caledonia,1,81
New Caledonia,2,78
New Caledonia,3,85
Germany,1,81
Germany,2,79
Germany,3,83
Jersey,1,81
Jersey,2,79
Jersey,3,83
Maldives,1,81
Maldives,2,80
Maldives,3,82
Guadeloupe,1,81
Guadeloupe,2,77
Guadeloupe,3,84
Isle of Man,1,81
Isle of Man,2,79
Isle of Man,3,83
Saint Barthelemy,1,81
Saint Barthelemy,2,78
Saint Barthelemy,3,84
Greece,1,81
Greece,2,78
Greece,3,83
Saint Martin,1,81
Saint Martin,2,78
Saint Martin,3,84
Kuwait,1,80
Kuwait,2,79
Kuwait,3,83
Wallis and Futuna,1,80
Wallis and Futuna,2,79
Wallis and Futuna,3,81
Puerto Rico,1,80
Puerto Rico,2,76
Puerto Rico,3,84
Thailand,1,80
Thailand,2,75
Thailand,3,84
Chile,1,80
Chile,2,77
Chile,3,82
Bahrain,1,79
Bahrain,2,78
Bahrain,3,80
Falkland Islands,1,79
Falkland Islands,2,77
Falkland Islands,3,81
Croatia,1,79
Croatia,2,76
Croatia,3,82
Antigua and Barbuda,1,79
Antigua and Barbuda,2,77
Antigua and Barbuda,3,82
United Arab Emirates,1,79
United Arab Emirates,2,78
United Arab Emirates,3,81
Estonia,1,79
Estonia,2,75
Estonia,3,83
Faroe Islands,1,79
Faroe Islands,2,77
Faroe Islands,3,81
China,1,79
China,2,76
China,3,81
Turkey,1,78
Turkey,2,75
Turkey,3,81
Guam,1,78
Guam,2,75
Guam,3,82
United States,1,78
United States,2,75
United States,3,81
Cuba,1,78
Cuba,2,76
Cuba,3,81
Czech Republic,1,78
Czech Republic,2,75
Czech Republic,3,81
Uruguay,1,78
Uruguay,2,74
Uruguay,3,82
Saudi Arabia,1,78
Saudi Arabia,2,77
Saudi Arabia,3,80
Ecuador,1,78
Ecuador,2,75
Ecuador,3,80
Barbados,1,78
Barbados,2,76
Barbados,3,80
Saint Pierre and Miquelon,1,78
Saint Pierre and Miquelon,2,74
Saint Pierre and Miquelon,3,82
