Date,GRA Purchases,PRGT 1/2/,Totals,Year,Billions,World,Debt ,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2022,91088136681.00,15386591496.00,106474728177.00,2022.00,106.4747282,101560.901,0.001048383,0.104838306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021,89474552025.00,14554823681.00,104029375706.00,2021.00,104.0293757,97076.276,0.001071625,0.107162512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2020,93408630285.00,12481816684.00,105890446969.00,2020.00,105.890447,85440.667,0.001239345,0.123934481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2019,66945509865.00,6590835450.00,73536345315.00,2019.00,73.53634532,87654.342,0.000838936,0.083893557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2018,55395611392.00,6426181029.00,61821792421.00,2018.00,61.82179242,86209.627,0.00071711,0.071711008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2017,39585385873.00,6522280669.00,46107666542.00,2017.00,46.10766654,81036.151,0.000568977,0.056897651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2016,49267630851.00,6482647937.00,55750278788.00,2016.00,55.75027879,76211.252,0.000731523,0.073152294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2015,50757840741.00,6575911158.00,57333751899.00,2015.00,57.3337519,74944.46,0.000765017,0.076501655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014,69041563463.00,6292755583.00,75334319046.00,2014.00,75.33431905,79429.015,0.000948448,0.094844836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013,83899249061.00,6174392682.00,90073641743.00,2013.00,90.07364174,77365.52,0.001164261,0.116426079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,90042348252.00,5766292503.00,95808640755.00,2012.00,95.80864076,75196.673,0.001274107,0.127410744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2011,87276915790.00,5308609594.00,92585525384.00,2011.00,92.58552538,73773.48,0.001254997,0.12549974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2010,55620104510.00,4819344134.00,60439448644.00,2010.00,60.43944864,66484.526,0.000909075,0.090907542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2009,37221142436.00,5079705286.00,42300847722.00,2009.00,42.30084772,60782.123,0.000695942,0.069594225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,17514964723.00,3972372030.00,21487336753.00,2008.00,21.48733675,64162.47,0.000334889,0.033488949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2007,6036146757.00,3796945581.00,9833092338.00,2007.00,9.833092338,58461.908,0.000168197,0.016819657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2006,9822640239.00,3844020520.00,13666660759.00,2006.00,13.66666076,51783.269,0.00026392,0.026392039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2005,28432143237.00,6282121668.00,34714264905.00,2005.00,34.71426491,47811.372,0.000726067,0.072606711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2004,55373766674.00,6766029353.00,62139796027.00,2004.00,62.13979603,44134.371,0.001407968,0.140796832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2003,65032062712.00,6880893268.00,71912955980.00,2003.00,71.91295598,39210.202,0.001834037,0.183403687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2002,63601058794.00,6868671012.00,70469729806.00,2002.00,70.46972981,34915.511,0.002018293,0.201829295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2001,53477225409.00,6424578684.00,59901804093.00,2001.00,59.90180409,33801.014,0.00177219,0.177218956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2000,42990531049.00,6331595468.00,49322126517.00,2000.00,49.32212652,34053.083,0.001448389,0.144838946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1999,51061861875.00,6434274362.00,57496136237.00,1999.00,57.49613624,32960.333,0.001744404,0.174440399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1998,60451017051.00,6288825925.00,66739842976.00,1998.00,66.73984298,31835.015,0.002096429,0.209642882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1997,46559033783.00,6009867422.00,52568901205.00,1997.00,52.56890121,31990.92,0.001643244,0.164324443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1996,36127472805.00,5881609752.00,42009082557.00,1996.00,42.00908256,32079.199,0.001309543,0.130954275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,35929173412.00,5657438528.00,41586611940.00,1995.00,41.58661194,31211.513,0.001332413,0.133241256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,25611676952.00,4599768498.00,30211445450.00,1994.00,30.21144545,27998.304,0.001079046,0.107904555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,25196745031.00,3942792899.00,29139537930.00,1993.00,29.13953793,26051.093,0.001118553,0.111855337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,23967172718.00,3804463796.00,27771636514.00,1992.00,27.77163651,25339.142,0.001095998,0.109599751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,23378573926.00,3285717796.00,26664291722.00,1991.00,26.66429172,24504.027,0.00108816,0.108815958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,20731851093.00,2571911617.00,23303762710.00,1990.00,23.30376271,23663.342,0.000984804,0.098480437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,22315104224.00,2334886562.00,24649990786.00,1989.00,24.64999079,20127.802,0.001224674,0.122467375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1988,24750004884.00,1773964293.00,26523969177.00,1988.00,26.52396918,19131.406,0.00138641,0.138640982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1987,28751979125.00,1866342930.00,30618322055.00,1987.00,30.61832206,17013.016,0.0017997,0.179969983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1986,33334905644.00,2013169931.00,35348075575.00,1986.00,35.34807558,14776.085,0.002392249,0.239224907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1985,35194787249.00,2470247948.00,37665035197.00,1985.00,37.6650352,12531.04,0.003005739,0.300573896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1984,34936772393.00,2769874900.00,37706647293.00,1984.00,37.70664729,12001.655,0.003141787,0.31417873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
