Country Name,Avg.Life_expectancy,Gender
Monaco,86.895,1
Monaco,85.055,2
Monaco,88.881,3
Macau,85.377,1
Macau,82.753,2
Macau,87.98,3
Japan,84.82,1
Japan,81.782,2
Japan,87.832,3
Liechtenstein,84.656,1
Liechtenstein,83.019,2
Liechtenstein,86.129,3
Hong Kong,84.315,1
Hong Kong,81.754,2
Hong Kong,86.893,3
Switzerland,84.255,1
Switzerland,82.484,2
Switzerland,85.932,3
Singapore,84.133,1
Singapore,81.981,2
Singapore,86.295,3
Italy,84.057,1
Italy,81.974,2
Italy,86,3
Vatican City,84.035,1
Vatican City,82.002,2
Vatican City,85.929,3
South Korea,84.024,1
South Korea,80.695,2
South Korea,87.101,3
Spain,83.912,1
Spain,81.2,2
Spain,86.549,3
Malta,83.704,1
Malta,81.644,2
Malta,85.703,3
Australia,83.579,1
Australia,81.708,2
Australia,85.453,3
Andorra,83.552,1
Andorra,81.43,2
Andorra,85.838,3
French Polynesia,83.55,1
French Polynesia,81.329,2
French Polynesia,85.977,3
Sweden,83.505,1
Sweden,81.902,2
Sweden,85.092,3
San Marino,83.433,1
San Marino,82.036,2
San Marino,84.733,3
Norway,83.393,1
Norway,81.718,2
Norway,85.055,3
Martinique,83.305,1
Martinique,80.275,2
Martinique,85.966,3
France,83.229,1
France,80.356,2
France,85.967,3
New Zealand,83.006,1
New Zealand,81.251,2
New Zealand,84.726,3
Canada,82.847,1
Canada,80.868,2
Canada,84.797,3
Gibraltar,82.83,1
Gibraltar,80.93,2
Gibraltar,84.691,3
Iceland,82.815,1
Iceland,81.382,2
Iceland,84.288,3
Guernsey,82.782,1
Guernsey,81.103,2
Guernsey,84.418,3
Ireland,82.716,1
Ireland,81.017,2
Ireland,84.412,3
Reunion,82.612,1
Reunion,79.739,2
Reunion,85.4,3
Israel,82.601,1
Israel,80.625,2
Israel,84.508,3
Luxembourg,82.591,1
Luxembourg,80.445,2
Luxembourg,84.77,3
Netherlands,82.451,1
Netherlands,80.944,2
Netherlands,83.904,3
Austria,82.412,1
Austria,80.15,2
Austria,84.6,3
Finland,82.351,1
Finland,79.792,2
Finland,84.886,3
Belgium,82.293,1
Belgium,80.16,2
Belgium,84.367,3
Portugal,82.24,1
Portugal,79.308,2
Portugal,84.93,3
United Kingdom,82.156,1
United Kingdom,80.439,2
United Kingdom,83.834,3
Slovenia,82.133,1
Slovenia,79.626,2
Slovenia,84.616,3
Cyprus,81.889,1
Cyprus,80.068,2
Cyprus,83.673,3
Denmark,81.882,1
Denmark,79.958,2
Denmark,83.802,3
Bermuda,81.571,1
Bermuda,78.435,2
Bermuda,84.507,3
Qatar,81.559,1
Qatar,80.626,2
Qatar,83.101,3
Taiwan,81.267,1
Taiwan,78.128,2
Taiwan,84.539,3
New Caledonia,80.998,1
New Caledonia,77.525,2
New Caledonia,84.612,3
Germany,80.989,1
Germany,78.512,2
Germany,83.487,3
Jersey,80.898,1
Jersey,78.61,2
Jersey,83.191,3
Maldives,80.839,1
Maldives,80.065,2
Maldives,81.844,3
Guadeloupe,80.799,1
Guadeloupe,77.251,2
Guadeloupe,83.896,3
Isle of Man,80.762,1
Isle of Man,78.833,2
Isle of Man,82.732,3
Saint Barthelemy,80.643,1
Saint Barthelemy,77.595,2
Saint Barthelemy,83.733,3
Greece,80.614,1
Greece,78.022,2
Greece,83.317,3
Saint Martin,80.55,1
Saint Martin,77.502,2
Saint Martin,83.658,3
Kuwait,80.264,1
Kuwait,78.878,2
Kuwait,82.752,3
Wallis and Futuna,80.015,1
Wallis and Futuna,79.031,2
Wallis and Futuna,80.99,3
Puerto Rico,79.72,1
Puerto Rico,75.578,2
Puerto Rico,83.897,3
Thailand,79.68,1
Thailand,75.473,2
Thailand,83.929,3
Chile,79.519,1
Chile,77.156,2
Chile,81.877,3
Bahrain,79.246,1
Bahrain,78.242,2
Bahrain,80.497,3
Falkland Islands,79.243,1
Falkland Islands,77.358,2
Falkland Islands,81.236,3
Croatia,79.236,1
Croatia,76.415,2
Croatia,82,3
Antigua and Barbuda,79.236,1
Antigua and Barbuda,76.507,2
Antigua and Barbuda,81.645,3
United Arab Emirates,79.196,1
United Arab Emirates,77.72,2
United Arab Emirates,81.412,3
Estonia,79.155,1
Estonia,74.983,2
Estonia,82.987,3
Faroe Islands,78.897,1
Faroe Islands,77.312,2
Faroe Islands,80.701,3
China,78.587,1
China,75.963,2
China,81.343,3
Turkey,78.475,1
Turkey,75.38,2
Turkey,81.495,3
Guam,78.33,1
Guam,74.838,2
Guam,82.046,3
United States,78.203,1
United States,75.479,2
United States,81.015,3
Cuba,78.155,1
Cuba,75.793,2
Cuba,80.565,3
Czech Republic,78.129,1
Czech Republic,75.106,2
Czech Republic,81.22,3
Uruguay,78,1
Uruguay,74.147,2
Uruguay,81.685,3
Saudi Arabia,77.905,1
Saudi Arabia,76.666,2
Saudi Arabia,79.525,3
Ecuador,77.894,1
Ecuador,75.313,2
Ecuador,80.481,3
Barbados,77.706,1
Barbados,75.677,2
Barbados,79.581,3
Saint Pierre and Miquelon,77.608,1
Saint Pierre and Miquelon,74.008,2
Saint Pierre and Miquelon,81.693,3
Northern Mariana Islands,77.471,1
Northern Mariana Islands,75.863,2
Northern Mariana Islands,79.459,3
French Guiana,77.452,1
French Guiana,74.763,2
French Guiana,80.32,3
Anguilla,77.442,1
Anguilla,74.136,2
Anguilla,81.156,3
Costa Rica,77.32,1
Costa Rica,74.762,2
Costa Rica,80.036,3
Algeria,77.129,1
Algeria,75.853,2
Algeria,78.457,3
Poland,76.996,1
Poland,73.233,2
Poland,80.796,3
Montenegro,76.845,1
Montenegro,73.48,2
Montenegro,80.262,3
Albania,76.833,1
Albania,74.502,2
Albania,79.472,3
Panama,76.826,1
Panama,73.726,2
Panama,80.091,3
Curacao,76.651,1
Curacao,72.698,2
Curacao,80.277,3
Sri Lanka,76.61,1
Sri Lanka,72.851,2
Sri Lanka,80.23,3
British Virgin Islands,76.373,1
British Virgin Islands,73.622,2
British Virgin Islands,79.256,3
Malaysia,76.26,1
Malaysia,73.955,2
Malaysia,78.799,3
Argentina,76.064,1
Argentina,72.851,2
Argentina,79.277,3
Latvia,75.927,1
Latvia,71.49,2
Latvia,80.088,3
Montserrat,75.849,1
Montserrat,74.52,2
Montserrat,77.541,3
Cayman Islands,75.555,1
Cayman Islands,73.234,2
Cayman Islands,78.124,3
Tokelau,75.38,1
Tokelau,74.424,2
Tokelau,76.198,3
Grenada,75.335,1
Grenada,72.588,2
Grenada,78.298,3
Slovakia,75.33,1
Slovakia,71.929,2
Slovakia,78.813,3
Bosnia and Herzegovina,75.293,1
Bosnia and Herzegovina,73.126,2
Bosnia and Herzegovina,77.498,3
Cook Islands,75.148,1
Cook Islands,71.445,2
Cook Islands,79.035,3
United States Virgin Islands,75.066,1
United States Virgin Islands,69.831,2
United States Virgin Islands,80.866,3
Mayotte,75.049,1
Mayotte,71.861,2
Mayotte,78.522,3
Aruba,74.992,1
Aruba,72.145,2
Aruba,77.681,3
Morocco,74.973,1
Morocco,72.896,2
Morocco,77.177,3
Hungary,74.958,1
Hungary,71.552,2
Hungary,78.309,3
Turks and Caicos Islands,74.925,1
Turks and Caicos Islands,72.165,2
Turks and Caicos Islands,77.986,3
Mexico,74.832,1
Mexico,71.547,2
Mexico,78.161,3
Cape Verde,74.722,1
Cape Verde,70.29,2
