,Country Name,Country_population,Life_expectancy,Feel_religious
2,Afghanistan,39835428,62,97
4,Angola,33933611,61,88
5,Albania,2811666,76,39
8,United Arab Emirates,9991083,79,91
9,Argentina,45808747,76,65
10,Armenia,2968128,73,73
13,Australia,25739256,83,32
14,Austria,8956279,82,55
15,Azerbaijan,10145212,73,50
16,Burundi,12255429,61,98
17,Belgium,11587882,82,33
18,Benin,12451031,59,93
19,Burkina Faso,21497097,59,88
20,Bangladesh,166303494,73,99
21,Bulgaria,6899125,71,34
22,Bahrain,1748295,79,94
24,Bosnia and Herzegovina,3263459,75,77
25,Belarus,9340314,73,34
26,Belize,404915,70,62
28,Bolivia,11832936,64,89
29,Brazil,213993441,73,87
33,Botswana,2397240,65,77
34,Central African Republic,4919987,54,94
35,Canada,38246108,82,42
37,Switzerland,8697723,84,41
39,Chile,19212362,79,70
40,China,1412360000,78,7
42,Cameroon,27224262,60,96
45,Colombia,51265841,73,83
46,Comoros,888456,63,97
48,Costa Rica,5139053,77,79
50,Cuba,11317498,78,34
53,Cyprus,1215588,81,75
55,Germany,83129285,80,40
56,Djibouti,1002197,62,98
58,Denmark,5856733,81,19
59,Dominican Republic,10953714,74,87
60,Algeria,44616626,77,95
66,Ecuador,17888474,77,82
70,Spain,47326687,83,49
71,Estonia,1329254,79,16
72,Ethiopia,117876226,65,99
75,Finland,5541696,82,28
77,France,67499343,83,30
81,United Kingdom,67326569,82,27
82,Georgia,3708610,71,81
83,Ghana,31732128,63,95
85,Guinea,13497237,58,97
89,Greece,10664568,80,71
92,Guatemala,17109746,68,88
97,Honduras,10062994,70,84
99,Croatia,3899000,79,70
100,Haiti,11541683,63,75
101,Hungary,9709886,74,39
106,Indonesia,276361788,68,98
109,India,1393409033,67,90
111,Ireland,5028230,82,54
113,Iraq,41179351,71,84
115,Israel,9364000,82,51
116,Italy,59066225,84,72
117,Jamaica,2973462,70,70
118,Jordan,10269022,74,96
119,Japan,125681593,84,24
120,Kazakhstan,19002586,69,43
121,Kenya,54985702,62,94
123,Cambodia,16946446,69,96
127,Kuwait,4328553,80,91
130,Lebanon,6769151,74,87
131,Liberia,5180208,61,94
138,Sri Lanka,22156000,76,98
143,Lithuania,2795321,74,42
144,Luxembourg,639070,82,39
145,Latvia,1883162,75,39
148,Morocco,37344787,74,97
150,Moldova,2573928,68,72
151,Madagascar,28427333,65,93
154,Mexico,130262220,74,73
158,Mali,20855724,59,95
159,Malta,516869,83,86
160,Myanmar,54806014,67,97
162,Montenegro,620173,76,71
165,Mozambique,32163045,59,86
166,Mauritania,4775110,64,98
168,Malawi,19647681,62,99
169,Malaysia,32776195,76,96
171,Namibia,2587344,58,92
173,Niger,25130810,62,99
174,Nigeria,211400704,53,96
175,Nicaragua,6702379,74,84
176,Netherlands,17533405,82,33
177,Norway,5408320,83,21
178,Nepal,29674920,70,93
180,New Zealand,5122600,83,33
184,Pakistan,225199929,66,92
185,Panama,4381583,76,88
186,Peru,33359416,73,84
187,Philippines,111046910,72,96
190,Poland,37781024,76,75
192,Puerto Rico,3263584,79,85
194,Portugal,10299423,82,72
195,Paraguay,7219641,70,92
200,Qatar,2930524,81,95
201,Romania,19115146,74,84
203,Rwanda,13276517,67,95
205,Saudi Arabia,35340680,77,93
206,Sudan,44909351,65,93
207,Senegal,17196308,67,96
208,Singapore,5453566,84,70
211,El Salvador,6518500,71,83
213,Somalia,16359500,56,99
214,Serbia,6844078,74,54
222,Slovenia,2107007,82,47
223,Sweden,10415811,83,17
229,Chad,16914985,52,95
232,Togo,8478242,61,80
233,Thailand,69950844,79,97
234,Tajikistan,9749625,71,85
235,Turkmenistan,6117933,69,80
242,Trinidad and Tobago,1403374,74,92
243,Tunisia,11935764,74,93
246,Tanzania,61498438,66,89
247,Uganda,47123533,63,93
248,Ukraine,43814581,68,46
250,Uruguay,3485152,78,41
252,Uzbekistan,34915100,71,59
257,Vietnam,98168829,74,30
263,South Africa,60041996,61,85
264,Zambia,18920657,61,95
265,Zimbabwe,15092171,59,88
