Country Name,Gender,Avg.Life_expectancy
Monaco,total,86.895
Monaco,male,85.055
Monaco,female,88.881
Macau,total,85.377
Macau,male,82.753
Macau,female,87.98
Japan,total,84.82
Japan,male,81.782
Japan,female,87.832
Liechtenstein,total,84.656
Liechtenstein,male,83.019
Liechtenstein,female,86.129
Hong Kong,total,84.315
Hong Kong,male,81.754
Hong Kong,female,86.893
Switzerland,total,84.255
Switzerland,male,82.484
Switzerland,female,85.932
Singapore,total,84.133
Singapore,male,81.981
Singapore,female,86.295
Italy,total,84.057
Italy,male,81.974
Italy,female,86.0
Vatican City,total,84.035
Vatican City,male,82.002
Vatican City,female,85.929
South Korea,total,84.024
South Korea,male,80.695
South Korea,female,87.101
Spain,total,83.912
Spain,male,81.2
Spain,female,86.549
Malta,total,83.704
Malta,male,81.644
Malta,female,85.703
Australia,total,83.579
Australia,male,81.708
Australia,female,85.453
Andorra,total,83.552
Andorra,male,81.43
Andorra,female,85.838
French Polynesia,total,83.55
French Polynesia,male,81.329
French Polynesia,female,85.977
Sweden,total,83.505
Sweden,male,81.902
Sweden,female,85.092
San Marino,total,83.433
San Marino,male,82.036
San Marino,female,84.733
Norway,total,83.393
Norway,male,81.718
Norway,female,85.055
Martinique,total,83.305
Martinique,male,80.275
Martinique,female,85.966
France,total,83.229
France,male,80.356
France,female,85.967
New Zealand,total,83.006
New Zealand,male,81.251
New Zealand,female,84.726
Canada,total,82.847
Canada,male,80.868
Canada,female,84.797
Gibraltar,total,82.83
Gibraltar,male,80.93
Gibraltar,female,84.691
Iceland,total,82.815
Iceland,male,81.382
Iceland,female,84.288
Guernsey,total,82.782
Guernsey,male,81.103
Guernsey,female,84.418
Ireland,total,82.716
Ireland,male,81.017
Ireland,female,84.412
Reunion,total,82.612
Reunion,male,79.739
Reunion,female,85.4
Israel,total,82.601
Israel,male,80.625
Israel,female,84.508
Luxembourg,total,82.591
Luxembourg,male,80.445
Luxembourg,female,84.77
Netherlands,total,82.451
Netherlands,male,80.944
Netherlands,female,83.904
Austria,total,82.412
Austria,male,80.15
Austria,female,84.6
Finland,total,82.351
Finland,male,79.792
Finland,female,84.886
Belgium,total,82.293
Belgium,male,80.16
Belgium,female,84.367
Portugal,total,82.24
Portugal,male,79.308
Portugal,female,84.93
United Kingdom,total,82.156
United Kingdom,male,80.439
United Kingdom,female,83.834
Slovenia,total,82.133
Slovenia,male,79.626
Slovenia,female,84.616
Cyprus,total,81.889
Cyprus,male,80.068
Cyprus,female,83.673
Denmark,total,81.882
Denmark,male,79.958
Denmark,female,83.802
Bermuda,total,81.571
Bermuda,male,78.435
Bermuda,female,84.507
Qatar,total,81.559
Qatar,male,80.626
Qatar,female,83.101
Taiwan,total,81.267
Taiwan,male,78.128
Taiwan,female,84.539
New Caledonia,total,80.998
New Caledonia,male,77.525
New Caledonia,female,84.612
Germany,total,80.989
Germany,male,78.512
