Country Name,Population22,pollution,total
Bangladesh,171186372,8,73
Pakistan,235824862,5,66
Mongolia,3398366,62,72
Afghanistan,41128771,36,62
India,1417173173,2,67
Indonesia,275501339,51,68
Bahrain,1472233,154,79
Nepal,30547580,49,70
Uzbekistan,34627652,43,71
Iraq,44496122,35,71
China,1425887337,39,78
United Arab Emirates,9441129,97,79
Kuwait,4268873,129,80
Bosnia and Herzegovina,3233526,34,75
Vietnam,98186856,34,74
Kyrgyzstan,6630623,110,70
North Macedonia,2093599,32,73
Syria,22125249,60,72
DR Congo,99010212,15,59
Myanmar,54179306,31,67
Ghana,33475870,47,63
Uganda,47249585,31,63
Armenia,2780469,25,73
Bulgaria,6781953,25,71
Sri Lanka,21832143,61,76
South Korea,51815810,24,84
Iran,88550570,17,74
Thailand,71697030,24,79
Kazakhstan,19397998,23,69
Macau,695168,23,85
Peru,34049588,44,73
Serbia,7221365,23,74
Laos,7529475,23,68
Chile,19603733,65,79
Saudi Arabia,36408820,41,77
Greece,10384971,22,80
South Africa,59893885,24,61
Nigeria,218541212,6,53
Algeria,44903225,21,77
Cambodia,16767842,21,69
Israel,9038309,98,82
Turkey,85341241,18,78
Hong Kong,7488865,20,84
Guatemala,17843908,68,68
Ethiopia,123379924,12,65
Georgia,3744385,20,71
Mexico,127504125,10,74
Cyprus,1251488,158,81
Malaysia,33938221,19,76
Croatia,4030358,19,79
Singapore,5975689,19,84
Poland,39857145,18,76
Romania,19659267,18,74
Jordan,11285869,83,74
Egypt,110990103,14,70
Philippines,115559009,17,72
Taiwan,23893394,17,81
Italy,59037474,17,84
Ukraine,39701739,16,68
Slovakia,5643453,16,75
Angola,35588987,42,61
Brazil,215313498,7,73
Colombia,51874024,28,73
Argentina,45510318,33,76
Hungary,9967308,14,74
Lithuania,2750055,14,74
Czech Republic,10493986,14,78
Latvia,1850651,13,75
Belgium,11655930,12,82
France,64626628,12,83
Austria,8939617,12,82
Japan,123951692,11,84
Germany,83369843,11,80
Netherlands,17564014,10,82
Switzerland,8740472,10,84
Ireland,5023109,10,82
United Kingdom,67508936,10,82
Costa Rica,5180829,124,77
Puerto Rico,3252407,10,79
Russia,144713314,9,70
Spain,47558630,9,83
Denmark,5882261,9,81
Luxembourg,647599,9,82
Malta,533286,9,83
Portugal,10270865,9,82
Ecuador,18001000,67,77
Australia,26177413,8,83
Canada,38454327,7,82
New Zealand,5185288,7,83
Norway,5434319,6,83
Sweden,10549347,6,83
Estonia,1326062,6,79
Finland,5540745,5,82
Iceland,372899,5,82
Bahamas,409984,3,74
