Year,Oil,Gas
1988,4.465251872,1.48802048
1989,7.632579608,1.737919426
1990,9.61381294,2.722685294
1991,4.010090104,2.307079953
1992,4.217170943,1.795920326
1993,3.8075741,2.062820012
1994,3.513406359,1.864276474
1995,4.133494874,1.831520413
1996,5.742606477,2.203359019
1997,4.439049738,2.037478633
1998,1.668957836,1.296749953
1999,7.885446459,1.384993169
2000,14.49235744,5.513711864
2001,9.781540615,8.677092747
2002,10.10596675,6.143722694
2003,10.63343474,5.597121892
2004,11.46043236,3.692894007
2005,13.17003621,3.021924675
2006,12.47810425,4.594257766
2007,10.59709071,3.768631918
2008,11.5964314,4.591667655
2009,8.449353702,4.82929218
2010,9.961629342,3.327974041
2011,11.39554337,3.990500094
2012,10.33423026,3.728626704
2013,9.132501712,3.490346185
2014,9.197252091,2.692905367
2015,5.950765866,2.803748911
2016,5.165385296,1.874063778
2017,6.4870179,2.548051207
2018,10.07082196,3.692660708
2019,8.660228075,2.855758396
2020,6.059317379,2.293114548
